question,document
I just found this course — is it still possible to jump in now?,74eb249bbf
"Can latecomers still enroll, or is it too late to start from scratch?",74eb249bbf
"If I join after the course has already started, can I still get a certificate?",74eb249bbf
What do I need to do in order to be eligible for the certificate if I’m joining now?,74eb249bbf
"If I missed the beginning, can I still complete the project and have it count for certification?",74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email. Do I still need to wait for one, or can I just start the course?",977bf7786c
"Is there any actual accepted list for the LLM Zoomcamp, or is registration only for measuring interest before it starts?",977bf7786c
"Do I have to register first before I can watch the lessons and submit homework, or can I begin right away while the homework form is open?",977bf7786c
"If I already registered for the LLM Zoomcamp, does that change anything for access, or is it just for the organizers to see how many people are interested?",977bf7786c
"Should I expect a confirmation message after signing up for the LLM Zoomcamp, or is registering not required to participate?",977bf7786c
How do students join the Office Hours or live workshop if the Zoom link is only for the instructors and TAs?,489dd1c9d9
Where can I find the live stream link for an Office Hours session before it starts?,489dd1c9d9
"Can I watch the workshop on YouTube instead of Zoom, and where is the channel?",489dd1c9d9
"If I want to ask a question during the live session, should I use chat or Slido?",489dd1c9d9
Why shouldn’t we post questions directly in the live chat during Office Hours?,489dd1c9d9
"Where do I begin if I want to take the LLM Zoomcamp, and what order should I follow each week?",04919992b3
"Do I need to wait for a specific start date for this course, or can I jump in anytime?",04919992b3
"What’s the usual weekly routine for watching lessons, doing the notebooks, and submitting homework?",04919992b3
Which course pages or repos should I check first before starting the LLM Zoomcamp?,04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data and tasks?",04919992b3
I can’t find myself on the leaderboard — how do I jump to my own entry?,c2903069a0
Why does the leaderboard show some random nickname instead of my real name?,c2903069a0
Where can I check what my display name is for the course?,c2903069a0
Can I change the name people see on the leaderboard to my Slack or GitHub handle?,c2903069a0
What name should I put in my profile if I want my certificate to use my real name instead of the default one?,c2903069a0
"Can I do the course on my own schedule and still get the certificate, or is it only for the live run?",69d122f12e
"If I take the self-paced version, do I lose the chance to get a certificate entirely?",69d122f12e
Why don't you give certificates for people who finish the course after it ends?,69d122f12e
Do I have to be part of the live cohort to do the peer reviews needed for the certificate?,69d122f12e
Is the peer-review step only available while the course is actively running?,69d122f12e
"Can I still get the certificate if I missed the first homework, or is homework required?",9f689c185f
Do I have to complete every homework assignment to qualify for the course certificate?,9f689c185f
What’s actually needed to earn the certificate if I skipped one homework?,9f689c185f
Is the Capstone project the only thing I must pass for the certificate?,9f689c185f
"If homework isn’t mandatory, what role does it play in the course anyway?",9f689c185f
Why does the homework content keep changing before it's released?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How do I know the homework is actually ready and safe to start?,96286b4be4
Can the homework still change even if I already see it on the platform?,96286b4be4
Is it okay to start working on a homework assignment while it is still marked as draft?,96286b4be4
When is llm-zoomcamp scheduled to run again?,bd31146b0e
What’s the next offering date for the course?,bd31146b0e
Do you know when this course will be available next?,bd31146b0e
Is there a planned session for the course in 2027?,bd31146b0e
When should I expect the summer 2027 run to start?,bd31146b0e
Where can I find the course lectures or videos?,31456f4b5f
Is there a main place to start if I want to watch the lessons?,31456f4b5f
Do the lesson pages include links to the videos somewhere at the top?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course?,31456f4b5f
What’s the easiest way to find the updated lecture videos for each lesson?,31456f4b5f
Where do I go to see the current LLM Zoomcamp syllabus and what we're supposed to cover?,20c5a1347e
"Is there a single place to check homework, deadlines, and my progress for this course?",20c5a1347e
What's the official platform for tracking the LLM Zoomcamp cohort structure and assignments?,20c5a1347e
Can I find all course updates like deadlines and homework in one dashboard for LLM Zoomcamp?,20c5a1347e
What site should I use to follow the LLM Zoomcamp schedule and keep track of my progress?,20c5a1347e
"Do you guys have live classes or office hours for every module in the LLM Zoomcamp, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a module, where should I ask for help since there isn’t a live session every time?",d65e05bd7a
"Are live sessions part of the course schedule by default, or do they only happen when announced separately?",d65e05bd7a
Is there any paid option that gives regular Zoom office hours and more support for the LLM Zoomcamp?,d65e05bd7a
"Are the course materials available somewhere in the repo, and is the main course content still free even without the extra support?",d65e05bd7a
Can I count my Bluesky posts toward the learning in public credits for the course?,dbf5369006
Do Bluesky posts qualify if I want to get learning in public credit in this class?,dbf5369006
Is it okay to use Bluesky activity as proof for learning in public credits?,dbf5369006
Will Bluesky be accepted for the course's learning in public credit requirement?,dbf5369006
Can I earn learning in public credit by posting on Bluesky?,dbf5369006
Where can I find the LLM Zoomcamp Telegram channel link?,054f3fd58f
"Is there a Telegram group for LLM Zoomcamp, and what is it used for?",054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
What channel do I use for course announcements in LLM Zoomcamp?,054f3fd58f
"Where are LLM Zoomcamp announcements posted, and where should I discuss technical issues?",054f3fd58f
Why do we skip LangChain at the start of the course and build everything manually first?,b7cdde6b25
What is LangChain actually used for in LLM apps?,b7cdde6b25
Is the idea that we should learn the basics like retrieval and prompting before using a framework?,b7cdde6b25
Why does the course compare LangChain to React or Angular instead of teaching it directly?,b7cdde6b25
Wouldn't it be faster to use LangChain right away for things like indexing and evaluation?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59
What does it mean if responses.create fails with an 'Insufficient credits' message?,f5df151c59
How can I fix the OpenAI error that appears when using responses.create?,f5df151c59
Is there a billing or credits issue behind the error from OpenAI responses.create?,f5df151c59
Why is my OpenAI responses.create command not working and showing a credit error?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
What does 'insufficient_quota' mean in the OpenAI API error message?,152af39a53
Do I need to add money to my OpenAI account to keep using the API?,152af39a53
"After I top up my billing, do I need to generate a new API key or can I keep the old one?",152af39a53
How do I make sure I'm using a model that’s actually available in my OpenAI account?,152af39a53
How much money do I need to put into the OpenAI API for this course?,554d0eb78b
Will using the OpenAI API in this module be expensive or is it basically cheap?,554d0eb78b
What's the minimum I should recharge on OpenAI if I want to follow the course exercises?,554d0eb78b
Roughly how much does it cost to use the OpenAI API for the course assignments?,554d0eb78b
Do I need more than a few dollars to work with the OpenAI API in Module 1?,554d0eb78b
Do I need to subscribe to OpenAI and pay for the API to finish the course homework?,85384a18e5
"Is the OpenAI API required for this course, or can I use something free instead?",85384a18e5
"For the assignments in this course, do I have to spend money on OpenAI API usage?",85384a18e5
What if I don’t want to pay for OpenAI API — are there any alternatives for the course?,85384a18e5
Can I complete the homework with a free or low-cost LLM service instead of OpenAI API?,85384a18e5
Why does my notebook keep saying OPENAI_API_KEY is missing?,86d99bbf21
How do I load my .env file in Jupyter before I create the OpenAI client?,86d99bbf21
Do I need python-dotenv for API key authentication in the notebook?,86d99bbf21
"I already set the key in .env, but Jupyter still can't find it — what am I missing?",86d99bbf21
What should I check if the OpenAI API key variable name isn't being picked up?,86d99bbf21
How do I keep my API keys out of git using a .env file?,233dabe430
What’s the easiest way to load OPENAI_API_KEY or GROQ_API_KEY from .env in Python?,233dabe430
Do I need to install anything to read environment variables from a .env file?,233dabe430
"What should I put inside my .env file for OpenAI, Groq, or Gemini keys?",233dabe430
Why is my key not showing up with os.getenv after using load_dotenv()?,233dabe430
"Do I have to stick to the recommended model in the homework, or can I swap in something like Gemini, Groq, or a local model?",ee43413718
"If I use a different LLM provider than the one in the assignment, will the homework still work without changes?",ee43413718
"Is there a free option for the RAG homework, or do I need a paid API key to complete it?",ee43413718
What kinds of changes might I need to make if I use OpenAI alternatives instead of the suggested model?,ee43413718
Where can I find a list of other LLM providers I can use for this homework?,ee43413718
How can I set up Gemini in the Module 1 notebook using the OpenAI-style endpoint?,0ae5c221b9
What do I need in my .env file to call Google Gemini from the course notebook?,0ae5c221b9
How do I create an OpenAI client for Gemini if I want to use the OpenAI-compatible URL?,0ae5c221b9
Which Gemini model name should I pass when I call chat completions in the notebook?,0ae5c221b9
Why do the course notebook examples need changes if I use Gemini chat completions instead of the newer Responses API?,0ae5c221b9
"How do I install Ollama on Mac, Windows, or Linux?",1d0b969028
"After installing Ollama, what command do I run to start using llama3 locally?",1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
What’s the easiest way to install the Ollama Python package for use in a script?,1d0b969028
Can you show a simple Python example for calling Ollama chat with llama3?,1d0b969028
How do I fix a connection refused error when I try to prompt my Ollama RAG setup?,c6fc2d4d11
My homework is failing with connection refused — do I need to restart the Ollama server somehow?,c6fc2d4d11
What should I run again if Ollama stops and I get a refused connection in the notebook?,c6fc2d4d11
Is there a command to bring Ollama back up when the RAG prompt can’t connect?,c6fc2d4d11
"After restarting my notebook, Ollama won’t respond — what’s the proper way to relaunch the server?",c6fc2d4d11
Why do I get a different token count with tiktoken than the number OpenAI shows in the API response?,bf0403d21b
"When I count my prompt tokens locally, why is the OpenAI usage a few tokens higher?",bf0403d21b
Does chat.completions add extra tokens even if my message text stays the same?,bf0403d21b
What makes OpenAI report more tokens than the visible words I send in a chat request?,bf0403d21b
"Could whitespace, newlines, or weird Unicode characters be the reason my token count is off by a few?",bf0403d21b
How can I set my API key once so I don’t have to export it again in every new terminal?,8b2f5e9d04
Is there a tool like direnv that can load my .env automatically when I enter the project folder?,8b2f5e9d04
What should I put in my shell config to make the environment file hook work on bash or zsh?,8b2f5e9d04
"If I’m using GitHub Codespaces, what’s the safest way to store secrets without committing them?",8b2f5e9d04
"For Python code, how do I read values from a .env file in my script?",8b2f5e9d04
What’s the best way to decide weights for different fields in minsearch or a similar search engine?,87d4ea4e08
"If I want to tune field weights, should I just do trial and error or is there a better method?",87d4ea4e08
How can I check which field-weight settings actually improve retrieval results?,87d4ea4e08
What kind of test set do I need before adjusting search field weights?,87d4ea4e08
Which metrics should I look at when comparing different weight combinations for search?,87d4ea4e08
What’s the best way to clean documents before using them in RAG so retrieval works better?,649c280e6d
"When preparing data for RAG, what kind of noise should I remove and what context should I keep?",649c280e6d
"Do I need to store my RAG documents as JSON, or can I use some other format too?",649c280e6d
How should I chunk documents for RAG so that related information stays together?,649c280e6d
What metadata should I keep when prepping documents for a RAG pipeline?,649c280e6d
"In GitHub Codespaces, why does uv show a ""Failed to hardlink files"" warning — is something broken, or does the install still work?",acf8fa5356
What should I do if uv can’t hardlink packages in Codespaces and keeps warning about it?,acf8fa5356
How can I stop uv from trying to hardlink files in my current shell session?,acf8fa5356
How do I make the uv link mode change stay after I close the terminal in Codespaces?,acf8fa5356
Does uv have a setting or env var to force copying instead of hardlinking when the cache and environment are different?,acf8fa5356
"I'm getting ""dotenv is not recognized"" in my environment. What package do I need to install to fix it?",0bed1f48da
How do I add dotenv support to my Python project for loading environment variables?,0bed1f48da
What should I run if `dotenv` isn't available and I want to use `load_dotenv()` in Python?,0bed1f48da
"Do I need a specific library for `from dotenv import load_dotenv`, and what's the install command?",0bed1f48da
"Why is `dotenv` missing, and how do I set it up so I can call `load_dotenv()`?",0bed1f48da
Can I do the RAG module on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required for the course, or is it only the easiest option to get started?",aa310de435
What do I need installed if I want to follow the course locally?,aa310de435
"If I skip Codespaces and run everything on my laptop, what tools should I be ready to set up?",aa310de435
"Do I have to use the same environment as everyone else, or can I make the setup local as long as it’s reproducible?",aa310de435
"If I keep working in GitHub Codespaces but never commit anything, where does my code actually live?",610ccb23c0
Is my code safe inside Codespaces if I don't push or commit it to GitHub?,610ccb23c0
